id,name,position
narongpan,พล.อ.ณรงค์พันธ์ จิตต์แก้วแท้,ผู้บัญชาการทหารบก
anuthin,อนุทิน ชาญวีรกูล,รองนายกรัฐมนตรี และรัฐมนตรีว่าการกระทรวงสาธารณสุข
supatphong,สุพัฒนพงษ์ พันธ์มีเชาว์,รองนายกรัฐมนตรี รัฐมนตรีว่าการกระทรวงพลังงาน และ กรรมการศคบ.
taweesin,นพ.ทวีศิลป์ วิษณุโยธิน,โฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโควิด-19 (ศบค.)
prayut,พล.อ.ประยุทธ์ จันทร์โอชา,นายกรัฐมนตรี
pravit,พล.อ.ประวิตร วงษ์สุวรรณ,รองนายกรัฐมนตรี
thaksin,ทักษิณ ชินวัตร,อดีตนายกรัฐมนตรี
bourla,Albert Bourla,CEO ของ Pfizer
thanatorn,ธนาธร จึงรุ่งเรืองกิจ,ประธานคณะก้าวหน้า
ratchakitcha,ราชกิจจานุเบกษา,หนังสือรวบรวมคำประกาศของทางราชการ
trisulee,ไตรศุลี ไตรสรณกุล,รองโฆษกประจำสำนักนายกรัฐมนตรี
kiattiphoom,นพ.เกียรติภูมิ วงศ์รจิต,ปลัดกระทรวงสาธารณสุข
wiroj,วิโรจน์ ลักขณาอดิศร,ส.ส.พรรคก้าวไกล
teerawat,นพ.ธีระวัฒน์ เหมะจุฑา,หน.ศูนย์วิทยาศาสตร์สุขภาพโรคอุบัติใหม่ คณะแพทยศาสตร์ โรงพยาบาลจุฬาลงกรณ์
jade,นพ.เจตน์ ศิรธรานนท์,ประธานกรรมาธิการสาธารณสุข วุฒิสภา
yong,ศ.นพ.ยง ภู่วรวรรณ,หัวหน้าศูนย์เชี่ยวชาญเฉพาะทางด้านไวรัสวิทยาคลินิก คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย
anuphong,พล.อ.อนุพงษ์​ เผ่าจินดา​,รัฐมนตรีว่าการกระทรวงมหาดไทย
boon,นพ.บุญ วนาสิน,ผู้บริหารบริษัทธนบุรี เฮลแคร์ กรุ๊ป จำกัด (มหาชน)
jessada,รศ.ดร.เจษฎา เด่นดวงบริพันธ์,อาจารย์ประจำภาควิชาชีววิทยา คณะวิทยาศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย